Hour,Temperature,load
7,67,1002.964
8,67.4,1066.672
9,68.4,1108.235
10,69.3,1114.153
11,72.7,1106.482
12,76.3,1079.351
13,79.8,1079.202
14,80.6,1105.119
15,82.5,1123.218
16,82.8,1130.2
17,83.1,1203.24
18,82,1251.31
19,80.6,1283.363
20,78.4,1265.195
21,75.7,1224.325
22,74.7,1138.296
23,73,1041.635
24,68.6,972.232
1,70.7,931.646
2,69.3,879.162
3,68.4,854.231
4,66.5,843.253
5,64.8,858.254
6,63.6,904.918
7,62.6,975.083
8,62.6,999.677
9,64.6,935.337
10,68.7,881.625
11,71.9,882.682
12,74.4,933.76
13,76.2,976.056
14,77.5,984.16
15,78.7,1001.025
16,79,1023.893
17,79.4,1081.225
18,77.2,1154.18
19,76,1192.088
20,73.8,1196.098
21,71.5,1155.949
22,70.2,1073.511
23,68.8,979.795
24,71.9,895.779
1,65.7,854.521
2,64.8,813.206
3,63.9,791.926
4,62.8,779.02
5,61.6,802.451
6,60.5,853.307
7,59.5,911.49
8,60.2,930.273
9,62.9,925.493
10,64.9,873.516
11,68.4,838.074
12,71.3,863.725
13,73.3,940.253
14,74.9,976.997
15,75,1021.144
16,73.7,1010.104
17,74.9,1026.452
18,74.9,1072.846
19,69.3,1121.782
20,66.9,1127.875
21,65.9,1099.37
22,66.9,1025.958
23,65.6,937.286
24,67.2,868.569
1,62.7,811.723
2,61.2,786.393
3,60,758.439
4,59,756.379
5,58.2,776.77
6,57.3,843.108
7,56.7,927.28
8,57.6,927.902
9,61.2,851.132
10,63.7,792.354
